submission_id,age,both_norms_shown,comments,endTime,expected_claim1,expected_claim2,expected_claim3,expected_claim4,experiment_id,gender,ingroup_norm,norm_first_shown,norm_second_shown,outgroup_norm,response,response_claim1,response_claim2,response_claim3,response_claim4,startDate,startTime,timeSpent,trial_name,trial_number
3122,25,NA,,1630071507987,NA,NA,NA,NA,260,female,NA,NA,NA,NA,Feminism,NA,NA,NA,NA,Fri Aug 27 2021 15:38:06 GMT+0200 (Central European Summer Time),1630071486471,0.3586,issue,1
3122,25,NA,,1630071507987,NA,NA,NA,NA,260,female,NA,NA,NA,NA,5,NA,NA,NA,NA,Fri Aug 27 2021 15:38:06 GMT+0200 (Central European Summer Time),1630071486471,0.3586,statement rating,1
3122,25,0,,1630071507987,NA,NA,NA,NA,260,female,Approximately 60% of participants who agreed with you about Feminism chose to do nothing and leave the robber alone.,Approximately 60% of participants who agreed with you about Feminism chose to do nothing and leave the robber alone., ,Approximately 85% of participants who did not agree with you about Feminism chose to call the police and report the robber.,Probably call the police and report the robber,NA,NA,NA,NA,Fri Aug 27 2021 15:38:06 GMT+0200 (Central European Summer Time),1630071486471,0.3586,moral dilemma,1
3122,25,NA,,1630071507987,NA,NA,NA,NA,260,female,NA,NA,NA,NA,Neither good nor bad,NA,NA,NA,NA,Fri Aug 27 2021 15:38:06 GMT+0200 (Central European Summer Time),1630071486471,0.3586,behavior rating,1
3122,25,NA,,1630071507987,true,false,false,false,260,female,NA,NA,NA,NA,NA,true,false,false,false,Fri Aug 27 2021 15:38:06 GMT+0200 (Central European Summer Time),1630071486471,0.3586,custom understanding check,1
3122,25,NA,,1630071507987,NA,NA,NA,NA,260,female,NA,NA,NA,NA,6,NA,NA,NA,NA,Fri Aug 27 2021 15:38:06 GMT+0200 (Central European Summer Time),1630071486471,0.3586,identification_pro,1
3122,25,NA,,1630071507987,NA,NA,NA,NA,260,female,NA,NA,NA,NA,6,NA,NA,NA,NA,Fri Aug 27 2021 15:38:06 GMT+0200 (Central European Summer Time),1630071486471,0.3586,identification_anti,2
3113,21,NA,,1630069941055,NA,NA,NA,NA,260,female,NA,NA,NA,NA,Feminism,NA,NA,NA,NA,Fri Aug 27 2021 15:12:03 GMT+0200 (CEST),1630069923913,0.2857,issue,1
3113,21,NA,,1630069941055,NA,NA,NA,NA,260,female,NA,NA,NA,NA,5,NA,NA,NA,NA,Fri Aug 27 2021 15:12:03 GMT+0200 (CEST),1630069923913,0.2857,statement rating,1
3113,21,0,,1630069941055,NA,NA,NA,NA,260,female,Approximately 60% of participants who agreed with you about Feminism chose to call the police and report the robber.,Approximately 60% of participants who agreed with you about Feminism chose to call the police and report the robber., ,Approximately 85% of participants who did not agree with you about Feminism chose to do nothing and leave the robber alone.,Very likely do nothing and the leave the robber alone,NA,NA,NA,NA,Fri Aug 27 2021 15:12:03 GMT+0200 (CEST),1630069923913,0.2857,moral dilemma,1
3113,21,NA,,1630069941055,NA,NA,NA,NA,260,female,NA,NA,NA,NA,Slightly bad,NA,NA,NA,NA,Fri Aug 27 2021 15:12:03 GMT+0200 (CEST),1630069923913,0.2857,behavior rating,1
3113,21,NA,,1630069941055,true,false,false,false,260,female,NA,NA,NA,NA,NA,true,false,false,false,Fri Aug 27 2021 15:12:03 GMT+0200 (CEST),1630069923913,0.2857,custom understanding check,1
3113,21,NA,,1630069941055,NA,NA,NA,NA,260,female,NA,NA,NA,NA,7,NA,NA,NA,NA,Fri Aug 27 2021 15:12:03 GMT+0200 (CEST),1630069923913,0.2857,identification_pro,1
3113,21,NA,,1630069941055,NA,NA,NA,NA,260,female,NA,NA,NA,NA,1,NA,NA,NA,NA,Fri Aug 27 2021 15:12:03 GMT+0200 (CEST),1630069923913,0.2857,identification_anti,2
3112,23,NA,,1630069866182,NA,NA,NA,NA,260,female,NA,NA,NA,NA,Transgender rights,NA,NA,NA,NA,Fri Aug 27 2021 15:10:55 GMT+0200 (Mitteleuropäische Sommerzeit),1630069855424,0.1793,issue,1
3112,23,NA,,1630069866182,NA,NA,NA,NA,260,female,NA,NA,NA,NA,5,NA,NA,NA,NA,Fri Aug 27 2021 15:10:55 GMT+0200 (Mitteleuropäische Sommerzeit),1630069855424,0.1793,statement rating,1
